response_code,isbn,box,long_title,author,publisher,binding_type,pages,date_published
200,9780571321711,07 Fiction & Poetry,New Selected Poems 19882013,Seamus Heaney,Faber Faber,Hardcover,N/A,2001
200,9780670041831,07 Fiction & Poetry,Sonnets (no Fear Shakespeare),William Shakespeare,Barnes & Noble Books,Paperback,160,2004
200,9780684826219,07 Fiction & Poetry,Mythologies,William Butler Yeats,Scribner,Paperback,384,N/A
200,9780751552591,07 Fiction & Poetry,"Very British Problems: Making Life Awkward For Ourselves, One Rainy Day At A Time",Rob Temple,"Little, Brown Book Group",Hardcover,288,2013
200,9781107692954,07 Fiction & Poetry,The Cambridge Companion To The Poetry Of The First World War (cambridge Companions To Literature),Santanu Das,Cambridge University Press,Paperback,346,2013
404,9781741149180,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
200,9781742111186,07 Fiction & Poetry,An Anthology Of Classic Australian Folklore,A.k. ( Compiled By ) Macdougall,The Five Mile Press,Hardcover,N/A,2008
404,9781841593128,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
200,9781863021982,07 Fiction & Poetry,Henry-lawson-complete-works-1885-1900-a-camp-fire-yarn,Lawson Henry,"Lansdowne Press, Willoughby",N/A,N/A,1988
404,9781863021999,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
404,9781863025409,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
404,9781863025416,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
200,9781904633792,07 Fiction & Poetry,The Phantom Of The Opera (collector's Library),Gaston Leroux,Collector's Library,Hardcover,312,2011
404,9781904919971,07 Fiction & Poetry,N/A,N/A,N/A,N/A,N/A,N/A
200,9781907360053,07 Fiction & Poetry,Sanditon: Lady Susan & The History Of England (collector's Library),Jane Austen,Collector's Library,Hardcover,504,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594004956,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
404,46594005953,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
200,9780060241100,08 Ingall's & The American Girl's Collection,"West From Home: Letters Of Laura Ingalls Wilder, San Francisco, 1915",Laura Ingalls Wilder,Harpercollins,Hardcover,192,1974
200,9780060264895,08 Ingall's & The American Girl's Collection,"On The Way Home: The Diary Of A Trip From South Dakota To Mansfield, Missouri, In 1894",Laura Ingalls Wilder,Harpercoll,Hardcover,128,1962
404,9780060972400,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
200,9780937295014,08 Ingall's & The American Girl's Collection,"Meet Kirsten (american Girl: Kirsten, 1854)",Janet Shaw,American Girl,Paperback,80,1986
200,9780937295045,08 Ingall's & The American Girl's Collection,"Meet Samantha (american Girl: Samantha, 1904)",Susan Adler,American Girl,Paperback,80,1988
200,9780937295076,08 Ingall's & The American Girl's Collection,Meet Molly,Tripp,Amer Girl Pub,Paperback,59,1988
200,9780937295106,08 Ingall's & The American Girl's Collection,Kirsten Learns A Lesson (american Girl),Janet Shaw,American Girl,Paperback,88,1986
200,9780937295137,08 Ingall's & The American Girl's Collection,"Samantha Learns A Lesson (american Girl: Samantha, 1904)",Susan Adler,American Girl,Paperback,80,1998
200,9780937295168,08 Ingall's & The American Girl's Collection,Molly Learns A Lesson (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,2000
200,9780937295199,08 Ingall's & The American Girl's Collection,Kirsten's Surprise (american Girl Collection),Janet Shaw,American Girl,Paperback,80,1986
200,9780937295229,08 Ingall's & The American Girl's Collection,Samantha's  Surprise (american Girl Collection),Maxine Rose Schur,Pleasant Company Publications,Paperback,88,N/A
200,9780937295250,08 Ingall's & The American Girl's Collection,"Molly's Surprise: A Christmas Story, Book Three (the American Girls Collection)",Valerie Tripp,American Girl,Paperback,88,1986
200,9780937295335,08 Ingall's & The American Girl's Collection,"Happy Birthday, Kirsten! (american Girl Collection)",Janet Shaw,American Girl,Paperback,72,1987
200,9780937295359,08 Ingall's & The American Girl's Collection,"Happy Birthday, Samantha! (american Girl Collection)",Valerie Tripp,American Girl,Paperback,80,1988
404,9780937295373,08 Ingall's & The American Girl's Collection,N/A,N/A,N/A,N/A,N/A,N/A
200,9780937295397,08 Ingall's & The American Girl's Collection,Kirsten Saves The Day (american Girl Collection),Janet Shaw,American Girl,Paperback,88,1988
200,9780937295410,08 Ingall's & The American Girl's Collection,Samantha Saves The Day (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,N/A
200,9780937295434,08 Ingall's & The American Girl's Collection,Molly Saves The Day (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1988
200,9780937295458,08 Ingall's & The American Girl's Collection,"Changes For Kirsten : A Winter Story / By Janet Shaw ; Illustrations, Renee Graef ; Vignettes, Keith Skeen",Janet Beeler Shaw,Madison Wis. : Pleasant Co,Hardcover,80,1988
200,9780937295472,08 Ingall's & The American Girl's Collection,Changes For Samantha (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,N/A
200,9780937295496,08 Ingall's & The American Girl's Collection,Changes For Molly (american Girl Collection),Valerie Tripp,American Girl,Paperback,80,1988
200,9781562470043,08 Ingall's & The American Girl's Collection,"Meet Felicity (the American Girls Collection, Book 1)",Valerie Tripp,American Girl,Paperback,88,1991
200,9781562470074,08 Ingall's & The American Girl's Collection,Felicity Learns A Lesson (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1991
200,9781562470104,08 Ingall's & The American Girl's Collection,Felicity's Surprise,Valerie Tripp,American Girl,Paperback,77,1991
200,9781562470319,08 Ingall's & The American Girl's Collection,"Happy Birthday, Felicity! (american Girl Collection)",Valerie Tripp,American Girl,Paperback,88,1992
200,9781562470340,08 Ingall's & The American Girl's Collection,Felicity Saves The Day (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1992
200,9781562470371,08 Ingall's & The American Girl's Collection,Changes For Felicity (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1992
